SearchTerm,Link1,AdaptationOf,Link2
The Invisible Man [2020 film],/work/24837781,The Invisible Man,/work/21214
Emma [2020 film],/work/24788053,Emma,/work/364
Dolittle [2020 film],/work/24434168,Dolittle [2020 film],/work/24434168
The Call of the Wild [2020 film],/work/24725786,The Call of the Wild,/work/21623
The Rhythm Section,/work/831523,,
It Chapter Two [2019 Film],/work/23961085,It Chapter Two [2019 Film],/work/23961085
After Darkness [2019 film],/work/26124078,After,/work/6664405
Doctor Sleep [2019 Film],/work/23905237,Doctor Sleep,/work/12550356
Little Women [2019 film],/work/24063655,Little Women,/work/2770499
Jojo Rabbit,/work/24241294,Caging Skies,/work/7765668
Jumanji: The Next Level [2019 Film],/work/24330284,Jumanji: The Next Level [2019 Film],/work/24330284
Pet Sematary [2019 film],/work/23112491,Pet Sematary,/work/24308
Motherless Brooklyn,/work/8099,,
The Goldfinch [2019 film],/work/24726773,The Goldfinch,/work/13520191
The Good Liar [2019 Film],/work/24327145,The Good Liar,/work/16848943
How to Train Your Dragon: The Hidden World [2019 film],/work/23246960,How to Train Your Dragon: The Hidden World [2019 film],/work/23246960
The personal history of David Copperfield [2019 film],/work/25088144,David Copperfield,/work/7489
The Art of Racing in the Rain [2019 film],/work/23596164,The Art of Racing in the Rain: A Novel,/work/4206105
"Where'd You Go, Bernadette",/work/11476261,,
The wandering earth [Liu lang di qiu] [2019 film],/work/22867146,The Wandering Earth {story},/work/15888266
An Officer and a Spy,/work/13641500,,
Zeroville,/work/1426913,,
A Dog's Way Home [2019 film],/work/22742270,A Dog's Way Home,/work/19438058
The Anatomy of Influence: Literature as a Way of Life,/work/11100634,,
Ready Player One [2018 film],/work/21661094,Ready Player One,/work/10966683
Red Sparrow [2018 film],/work/21263659,Red Sparrow,/work/13568479
The Meg [2018 film],/work/22466128,The Meg [2018 film],/work/22466128
Annihilation,/work/14034594,Annihilation,/work/14034594
Fantastic Beasts: The Crimes of Grindelwald [2018 film],/work/22634478,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,/work/21740108
Fifty Shades Freed [2018 film],/work/21776063,Fifty Shades Freed,/work/11914965
The House with a Clock in Its Walls [2018 film],/work/22387114,The House with a Clock in Its Walls,/work/10037
"Love, Simon [2018 film]",/work/21263678,Simon vs. the Homo Sapiens Agenda,/work/15101561
Mortal Engines [2018 film],/work/22939176,Mortal Engines,/work/22781
Maze Runner: The Death Cure [2018 film],/work/21742294,The Death Cure,/work/10838342
The Darkest Minds [2018 film],/work/22446792,The Darkest Minds,/work/12179686
Mary Poppins Returns [2018 film],/work/22657514,Mary Poppins Returns [2018 film],/work/22657514
The Girl in the Spider's Web [2018 Film],/work/22690608,The Girl in the Spider's Web,/work/15888480
Death Wish [2018 film],/work/21919175,Death Wish [2018 film],/work/21919175
The Hate U Give [2018 film],/work/22512640,The Hate U Give,/work/18690995
Hunter Killer [2018 film],/work/22630180,Hunter Killer [2018 film],/work/22630180
A Wrinkle in Time [2018 film],/work/21526098,A Wrinkle in Time,/work/4044
London Fields,/work/7165,,
Ophelia,/work/986361,,
Christopher Robin [2018 film],/work/16018312,Christopher Robin [2018 film],/work/16018312
If Beale Street Could Talk,/work/76725,,
Every Day [2018 film],/work/21919186,Every Day,/work/12538587
Sherlock Gnomes [2018 animated film],/work/21658040,Sherlock Gnomes [2018 animated film],/work/21658040
"Thugs Of Hindostan Hindi DVD - Amirk Khan, Amitabh Bachan, Katrina Kaif - A Bollywood Film By Aditya Chopra",/work/23000833,,
La Perdida,/work/508842,,
The Bromley Boys: The True Story of Supporting the Worst Football Team in Britain,/work/6248915,,
