Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
The Purple Taxi,1977,R,Drama ,,,,"With his mauve taxi, the old philosopher Dr. Seamus Scully (Fred Astaire) runs around the small green roads of the south of Ireland, becoming confident of his patients, while trying to help them find their way.",ireland female nudity based on novel ,60
Pedro Páramo,1977,,Drama ,,,,"Remake of the 1967 literary adaptation, in which a wayfarer travels to a mysterious arid village to meet the father who long ago abandoned his wife.",male nudity male rear nudity abandoned town pubic hair female full frontal nudity 2 more ,180
Where Time Began,1977,PG,Adventure Family Sci-Fi ,,,,Like in the novel of Jules Verne four persons try to get to the centre of the world by entering into a world of caves by a volcano. On their way they discover among other things also prehistoric animals like some dinosaurs.,kaiju underground cave psychotronic film french science fiction literature on screen volcano 34 more ,60
Acto de posesión,1977,,Drama ,,,,A sterile woman concocts a plan to have a baby by manipulating her handsome lover to seduce and impregnate a naive and lonely girl.,murder female frontal nudity male bare butt bare chested male pubic hair 7 more ,60
Ballad of Orin,1977,,Drama ,,,,"A blind traveling musician is abused and oppressed while she tours the country, even though the modern world imposes changes on people's behavior.",blindness based on novel ,60
Bhumika,1977,,Drama ,,,,"Coming from a poor and destitute family, Urvashi is encouraged by her mother, Shanta (Sualbha Deshpande) to be on more than friendly terms with a much older male, Keshav Dalvi (Amol Palekar). Keshav takes a liking to young Urvashi, and encourages her to explore her talents in films, which she does, and does gain popularity, starting as a singer, then accomplishing herself as an actress/singer. She decides to marry Keshav, only to be discouraged by her own mother, but she is strong-willed, and does marry him. She has a baby girl after the marriage, but feels stifled and oppressed with Keshav, and has affairs with her co-star Rajan (Anant Nag), a film producer, Sunil Verma (Naseeruddin Shah), but ends up dissatisfied. Then she meets wealthy Vinayak Kale (Amrish Puri), and decides to settle down with him, little knowing that he is already married to another woman, and also has a son. By the time she finds out it is too late, she has already been accepted in his household, and any woman, whether his own mother(Dina Pathak), his present handicapped wife, and even Urvashi have to follow the rules laid down - no women can leave the house under any circumstances, except after death.",film producer marriage subjective camera domestic violence mistress 49 more ,120
Un borghese piccolo piccolo,1977,,Comedy Crime Drama Thriller ,,,,"Giovanni Vivaldi is an average middle-aged man with a secure job as a government accountant. He wishes nothing more than to set up his only son Mario, his biggest pride in the world, with the same secure government job before he eventually retires. For this, Giovanni will stop at nothing...",controversial accountant cruelty vendetta seeking justice 161 more ,120
Le gang,1977,Not Rated,Crime Drama ,,,,"In 1945, as World War Two comes to a close, five small time crooks unite to form a gang. After several bold robberies they become notorious as ""the front-wheel drive gang"". The police attempt to stop their crime spree with little success, but how long will their luck last?",literature on screen european literature on screen french literature on screen crime literature on screen french crime literature on screen 9 more ,60
The Left-Handed Woman,1977,,Drama ,Non,Non,"3,773","After returning from a business trip in Finland, Bruno (Bruno Ganz) find that his wife Marianne (Edith Clever) wants her husband to leave her alone with their son. A struggle with loneliness and adapting to the new situation ensues.",part of the body in title new german cinema reference to gustave flaubert reference to un coeur simple by gustave flaubert reference to flaubert 4 more ,60
Black Journal,1977,,Crime Drama Horror Thriller ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">ITL 1,900,000,000 (estimated)</span></li></ul></div></li",Non,Non,"Lea, a mature Neapolitan woman who runs a box office in the Lotto in a northern city, has had thirteen children, but all but one have died from abortion or after a few months of life. The only survivor, Michele, is taken care of by her with morbid affection: she is convinced that she has stolen it from death by negotiating with her, so she is not willing to give it away either to her country or to another woman. When Michele gets engaged with a pretty dance teacher, the mother, to avert her detachment, makes a new sacrifice to Death, suppressing three spinster friends, from which she obtains soap and biscuits. His call to arms comes for his son: to get him back, Lea wants to multiply his sacrificial rites, targeting, this time, a silent maid and the hated girl of Michael. The carabinieri will stop it in time.",bare breasts female full frontal nudity female full rear nudity murderess serial murder 382 more ,60
Group Portrait with a Lady,1977,,Drama History Romance War ,,,,"The story follows the life of a regular German women Leni Gruyten during 1930s and 1940s. Through her interactions with friends, family and other people she knows, the regular folks' perception of the Nazi era is shown.",german nazi pre war post war bathroom 44 more ,60
The Mouse and His Child,1977,G,Animation Adventure Drama Family ,,,,"Adaptation of Russell Hoban's novel about two mechanical toy mice, and their quest to become ""self-winding"".",animal that acts human anthropomorphism cult film toy talking animal 103 more ,60
Swami,1977,,Drama ,,,,"Shortly after Saudamani's birth, her dad passes away, leaving her in the care of her widowed mom, who re-locates to live with her elder brother in a small town. It is here that Saudamini grows up, goes to school, and attends arts college. She is in love with her neighbor, Narendra, and hopes to marry him soon. But her mom and uncle have chosen Ghanshyam, a matriculate, who lives in another town. Her uncle passes away, and shortly thereafter Saudamini gets married &amp; re-locates to Ghanshyam's house, who lives with his step-mother; step-brother, Nikhil, and his wife, Shobha; and an unmarried step-sister, Charusheela. Saudamani detests Ghanshyam at first, but feels sorry for him after she witnesses that while he does all the work, he is ignored by the rest of the family and the servants. She changes all that and slowly starts to admire, respect, and fall in love with him, and Ghanshyam also reciprocates. Everything changes when Narendra comes to visit with a hope of reviving his romance with Saudamani. Watch what happens when Ghanshyam's mom sees Narendra and Saudamani holding hands in broad daylight in everyone's presence.",dysfunctional marriage marriage family relationships husband wife relationship mother daughter relationship 2 more ,120
The Getting of Wisdom,1977,Not Rated,Drama ,,,,"Oscar-nominated director Bruce Beresford (Driving Miss Daisy, Tender Mercies) crafts a tender coming-of-age tale that introduces one of Australian literature's most beloved characters to the screen, Laura Tweedle Rambotham (Susannah Fowle).",brief female nudity lesbian australia brunette melbourne 6 more ,60
Tell Her That I Love Her,1977,,Drama Mystery Romance Thriller ,,,,"David is an accountant. He leaves town every Friday, pretending he is going to take care of his parents at their old people's home. But actually his parents are dead, and he spends the week-ends converting a chalet. He intends to live there with Lise, a woman he knows and loves since childhood. But Lise has just married another and has a baby. David's mad love does not see those facts as an obstacle...",love accountant stalker neighbor male female relationship 9 more ,60
Fire Sale,1977,PG,Comedy ,,,,"Benny and his wife Ruthie a getting set to drive down to Florida, but Benny needs someone to look after his store while he's gone. Though he doesn't think much of him, Benny hands the responsibility over to his son, Russel. While Russel doesn't get much respect from his parents, he's better off than his brother, Ezra, whom Benny has gone so far as to disown. Ezra is currently battling with his work (coach of a high school basketball team that hasn't won in ages) and his wife (who keeps nagging him that she wants to have a baby as soon as possible) at the same time.",based on novel ,60
Terror of Frankenstein,1977,Not Rated,Horror Sci-Fi ,,,,Victor Frankenstein's search for the secret of life leads to the creation of a monster that consumes his life and family.,doctor victor frankenstein character psychotronic film film version of shelley's frankenstein monster blond boy 27 more ,60
Des Teufels Advokat,1977,,Drama ,,,,"A high ranking Roman Catholic priest, Monsignor Blaise Meredith (Sir John Mills), finds out he has terminal cancer. His faith is tested when faced with imminent death. At the same time, he is asked to travel to a remote village in the south of Italy to investigate a mysterious individual, Giacomo Nerone (Leigh Lawson), who has been named as a possible ""saint"" because he is said to have performed miracles. Before the Roman Catholic Church proclaims him to be a saint, someone has to play the ""devil's advocate"", investigate his life and make a case why he should not be a saint. Monsignor Meredith begins his investigations by talking to several people who have met him. He discovers his real name was ""James Black"". He was a British soldier who had become detached from the British Army (during World War II) and was hiding in this village in war-torn Italy. He began a relationship with a local woman.",year 1958 1950s catholic church southern italy italy 4 more ,60
Dear Inspector,1977,PG,Action Comedy Thriller ,,,,"Romance in the prime of life. When Lise's car bumps Antoine's bike, they recognize each other from a brief fling 20 years before while at the Sorbonne. He's now a professor of Greek; she's loathe to tell him she's a police inspector. A call interrupts their first dinner date: a Deputy of the National Assembly has been murdered. She has a suspect, another Deputy, and must track him while deflecting Antoine's eye from her vocation. All roads in the inquiry lead to Christine Vallier, the dead Deputy's mistress, a beguiling 22-year-old whose mother ran the Assembly's snack bar. When more deputies die and Antoine learns Lise's identity, she must act quickly solve the crime and save her future.",based on novel literature on screen european literature on screen french literature on screen crime literature on screen 51 more ,60
Il prefetto di ferro,1977,,Crime Drama Thriller ,,,,The mafia has overrun a section of the country so ruinously that a very stern man has been sent by the government to be the governor in that region. He has been given wide-ranging power and authority and is not afraid to use it.,poliziottesco bare breasts topless female big natural breasts italian fascism 12 more ,60
A Hero Ain't Nothin' But a Sandwich,1977,PG,Drama ,,,,"Benjie is a troubled teen in Los Angeles, living with his grandmother, mother, and her new boyfriend. Traumatized by his father's desertion and the situation at home, Benjie gets introduced to heroin. The downward spiral begins. At school he faces conflict between the two teachers he respects: Nigeria who emphasizes African history and is hostile to white teachers like Mr. Cohen, who pursues racial harmony. Benjie's family must come to terms with the devastation he has created in his life and make changes which affect them all.",junior high school boy child drug dealer teenage drug addict grandmother grandson relationship 56 more ,60
Monsieur Papa,1977,,Comedy ,,,,"Frank Lanier, known as ""Monsieur Papa"" (Claude Brasseur), lives alone with his little boy, Laurent, ten years old. He does the shopping, prepares breakfast, goes to the dry cleaners, sets the dinner table. How would Monsieur Papa do if he didn't have this son? Laurent, on the other hand, is not very good at spelling, but no one is perfect. Janine (Nathalie Baye) arises between two somewhat burnt hunting rabbits and three poorly tuned compound pasts. Laurent does not support the arrival of Janine in the life of his father. He is afraid that she will steal his father's love from him. And he redoubled his spelling mistakes. Two plane tickets for Bangkok found on the table are the last straw that will overflow the fragile family tranquility: Janine is on the trip but not Laurent. Monsieur Papa justifies himself as best he can. If he had the money he would also take his son. Never mind. Laurent announces to his father that he will soon bring him the sum of 10,000 francs. Monsieur Papa smiles. He's wrong: Laurent succeeds in the first solitary heist of a 10-year-old boy. A boy who, disappointed, will think for a long time, when his father returns the money, to the real motivations that make grown-ups act, but he will go to Bangkok.",literature on screen european literature on screen french literature on screen humoristic literature on screen french humoristic literature on screen 5 more ,60
Jack,1977,,Drama ,,,,"Jack, a bohemian in Stockholm with writer and musician dreams and his wild life with friends in Stockholm and on Gotland in 1970's - early years",screenplay adapted by author loose adaptation stockholm sweden drug writer 5 more ,60
Target of an Assassin,1977,PG,Thriller ,,,,"An ailing African leader is admitted to a hospital. A male nurse at the hospital kidnaps him, but it turns out that things aren't exactly what they seem to be.",hospital male nurse tension visceral victim 19 more ,60
Io Island,1977,,Horror Mystery ,,,,An investor planning on developing a tourist resort begins an investigation into the legends of the mysterious Io Island in the hope of exploiting its unspoiled beauty.,giallo korean giallo necrophilia sex prostitution 1 more ,60
Yumeno Kyusaku's Girl Hell,1977,,Drama Mystery ,,,,,softcore boat rowboat nudity female nudity 21 more ,60
The Mango Tree,1977,Not Rated,Drama ,,,,"Jamie is a young man growing up in the small Australian town of Bundaberg during the early 1940's. Jamie loves his tranquil life, surrounded by the friendly locals, and being brought up by his warm caring grandmother. But when a local preacher goes nutty, all hell breaks loose for the community, and Jamie leaves Bundaberg for the city.",1940s crazy preacher coming of age small town grandmother grandson relationship 3 more ,60
Proof of the Man,1977,,Crime Drama ,Non,Non,57,"Jonny Hayward, a black American, travels to Japan, but is murdered there. Detective Munusue is one of the team of detectives investigating the killing. Munusue begins to suspect that rising fashion designer Kyoko Yasugi may have either information or actual involvement in the murder. When Yasugi's son Kyohei flees to America after a hit-and-run killing, Detective Munusue goes to New York and teams up uncomfortably with NYPD detective Ken Shuftan to find Kyohei and to get information from Jonny Hayward's father, who was stationed in Japan after the war. Munusue, whose father was beaten to death by American G.I.s when the detective was a boy, must confront his own vengeful antagonism to former U.S. soldiers in order to solve the case.",multiple murders straw hat witness killed by a car elevator 6 more ,60
René la canne,1977,,Drama Comedy Crime ,,,,"Rene and Marchand are best friends. What makes their friendship special is that Rene is a professional thief, and Marchand is a policeman, albeit somewhat corrupt.",literature on screen european literature on screen french literature on screen crime literature on screen french crime literature on screen 5 more ,60
Hakkodasan,1977,,Drama ,,,,Two infantry regiments of the Imperial Japanese Army tackled Mount Hakkoda in the winter of 1902 to prepare for war with Russia.,marriage military flashback march snow 3 more ,120
Matriarhat,1977,,Drama ,,,,"The action took place in a Bulgarian village, inhabited mostly by women. Bereft of means for living, their husbands work in the town and are rare to show up. The women work, have fun and enjoy a wonderful sense of solidarity. The women's everyday life is not easy: they work in the fields, keep the houses going, they are lonely. They help each other, at times, quarrel, and dream along with the funny events that occur. However, it turns out that each of these women has own personal drama. Old Yordana, whose son is professor, has chosen to await death alone. Ganeta's husband wants her to seduce an auditor in the hope that the embezzlement for which he is eventually imprisoned will not be detected. Some time later she commits adultery against her will and suffers under the burden of her 'sin', which gets known in the village. Stipana, for her part, finds her only solace in the brandy she distils at home. And Zhela, just like Yordana, faces a lonely old age. Tana despises her husband for being unable to arrange their departure to the nearby city. This is what their life is like. They, however, stand up to hardship and hope springs eternal. This is a film about the rupture of family ties and the characters' deep-rooted love for their simple life close to nature.",matriarchy amazon tribe based on novel ,60
Une fille cousue de fil blanc,1977,,Drama ,,,,"A young girl dies in an accident just before her wedding. But when her sister starts to look into it, she discovers the truth about her.",color in title based on novel ,60
A Portrait of the Artist as a Young Man,1977,Not Rated,Drama ,,,,"Stephen Dedalus is a young man growing up in Ireland in the early part of the twentieth century. His search for knowledge and understanding, and the decline of his family's circumstances, lead him to revelations on the nature of art and politics. His personal renaissance makes him feel unwelcome in his own country, and forces him to decide whether to leave and accept exile, or to stay and fight.",ireland based on novel independent film ,60
Village of Eight Gravestones,1977,,Horror Mystery Thriller ,,,,"The heir to a family fortune discovers that a curse has been placed on it, put there centuries before by a band of samurai warriors.",warrior samurai warrior curse samurai waterfall 17 more ,120
La guerra de papá,1977,,Comedy ,,,,"Spain, March 1964: Quico is a very naughty child of three belonging to a wealthy middle-class family. Since Cristina's birth, he feels he has lost the privileged position of ""prince"" of the house for his eight months old sister. So, with his brother Juan, who is eight years old and is quite disobedient, spend their time committing prank after prank, causing the resulting anger of his mother, the nanny and the old housemaid. The rest of the family members are two much older brothers, his resigned mother and a retrograde father of authoritarian ideas. But many years have passed, and the civil war that won the despot Don Pablo is simply for their children ""Dad's war"".",boy frontal nudity boy taking a bath based on novel ,60
Death Duel,1977,,Drama Action ,,,,"The Third Master (Erh Tung Sheng, aka Derek Yee, in the role that launched his career) is considered to be the greatest sword master of the day. His displays of skill and strength bring armies of challengers to his door, seeking the title for themselves. Not to be defeated, the Third Master fights evil, saves damsels in distress, and duels rival swordsmen to the death.",duel sword fight kung fu martial arts body count 6 more ,60
Les passagers,1977,,Drama Thriller ,,,,A man and his stepson driving across Europe are terrorized by a man following them in a pickup truck.,stalking obsession fear stepfather stepson relationship boy 14 more ,60
Nuns That Bite,1977,,Horror ,,,,"A woman on the run is raped, rescued, then raped again. Escaping, she heads for the hills and finds safe haven at a convent. After becoming a postulant, she catches her fellow sisters engaging in unholy activities.",nunsploitation softcore simulated sex sexploitation film sexploitation 28 more ,60
The Black Pearl,1977,PG,Drama ,,,,"The young Ramon Salazar, son of a village owner, dreams of becoming a pearl fisherman. His father agrees to let him experience this job. Ramon enters a forbidden cave, den of a giant skate nicknamed the Manta Diablo. He finds an oyster containing a black pearl of unusual size. His father donates it to the Virgin rather than sell it to dishonest traffickers. Shortly after, the flotilla of the village led by Salazar perishes at sea. Ramon must face the Manta Diablo with another fisherman to bring prosperity to the village ..",stingray pearl based on novel independent film ,60
Der Mädchenkrieg,1977,,,,,,"The three daughters of the Dessau merchant Sellmann move in 1936 with their father to Prague, where he accepted a position as director of the Böhmische Landesbank. For the three different women begins a new life, which accompanies the film over a period of ten years. The Second world war will soon begin.",new german cinema based on novel ,120
The Assignment,1977,,Thriller ,,,,A Swedish diplomat travels to a civil war in a Latin American country. His mission is to mediate between the two extremist groups.,assassination police brutality latin america mass murder 12 more ,60
The Devil's Island,1977,,Drama Mystery Thriller ,,,,A scruffy detective investigates the murders of three sisters on a small Japanese island in 1946.,murder haiku based on novel ,120
Akuma no temari-uta,1977,,Mystery ,,,,"Kôsuke Kindaichi, a somewhat peculiar private detective, visits a remote town. He meets a police detective and they start to investigate an old unsolved murder. Then some murders happen. Kindaichi must find out about the past in order to reveal who the murderer is.",wine waterfall toy ball sparrow showa era 17 more ,120
Legenda o Tile,1977,,Adventure History ,,,,"A story of two orphans growing up in Flemish town at the time of witch-hunts, fear and ever present chance to get caught and been tortured and killed with or without a reason.",rebels 1500s european wars of religion sea dutch history 6 more ,300
Bang!,1977,,Drama ,,,,"Magnus is divorced and has an affair with an art teacher at the school where he works. When he thinks she's pregnant, he is worried because he is in love with another woman.",eastern europe psychological drama based on novel ,60
Who Has Seen the Wind,1977,,Drama Comedy ,"1,120,000 (estimated)",Non,Non,"The coming-of-age of adolescent Brian O'Connal in small town Depression-era Saskatchewan is told. The son of the local pharmacist Gerald O'Connal, Brian is in many ways a typical boy, who dislikes school if only because of his run-ins with the nervous schoolteacher, Miss MacDonald, and who tries to catch gophers with his friends, Artie and Forbsie. His best friend and protector is slightly older Jonathan Ben, better known as The Young Ben (as his father is referred to as The Ben), who is highly regarded as a problem by those in town who see themselves as the moral authority if only because of The Young Ben's association to The Ben, the town still keeper and drunk. Brian's life takes a turn when his parents have to leave town temporarily, while Brian stays on his Uncle Sean's farm. That stint leads to a series of events which make Brian see life around him through slightly older and wiser eyes.",boy wears eyeglasses lying on a bed man in a bed woman wears eyeglasses town 67 more ,60
The Battle Wizard,1977,,Action Fantasy ,,,,"A bookish young man and his sword-loving sister find themselves battling a trio of villains, one of them a beautiful but masked woman who has promised to either marry or murder the first man to see her unmasked.",psychotronic film marriage or else poisonous frog prosthetic leg leg amputation 17 more ,60
A Árvore dos Sexos,1977,,Comedy ,,,,"Bondomil, a quiet little town, becomes famous because in its main square there's a tree with strange fruits, with the format of the male sex organ, supposed to be an aphrodisiac for women. Soon the population grows wild, and tourists gather around it.",sex female nudity based on novel ,60
Pigs Have Wings,1977,,Drama Romance ,,,,"Rocco and Antonia, two 15-year-old students in the same Roman high school, meet at an event and fall in love.",simulated anal sex female full frontal nudity high school girl limp penis teenage sex 19 more ,60
L'imprécateur,1977,,Drama ,,,,"The management orders an investigation about the inflammatory leaflets that are spread, because they assume that an internal opposition is at work.",company based on novel ,60
"Hang on, Doggy!",1977,,Comedy Family ,,,,"This film takes place in Ljubljana, the capital of Slovenia. Matic lives in a large neighbourhood of concrete blocks of flats with his mother. As his father is temporarily working in Libya, they live alone. Matics' otherwise monotonous life changes dramatically when he is chosen to feature in a film. At the shooting he meets Milena, a girl his own age whom he begins to like. When the shooting is over, the film company gives him a present, a huge black Newfoundlander. Although his mother is not really pleased about it, Matic brings the dog home. And that is just the beginning of their adventures...",slovenia dog f rated family relationships volkswagen beetle 3 more ,60
Hærværk,1977,,Drama ,,,,"A talented newspaper critic suddenly realizes his own situation, and starts going to pieces while soaking himself in alcohol. Based on Tom Kristensen's acclaimed novel.",1930s alcoholism alcohol based on novel ,120
Den allvarsamma leken,1977,,Drama ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">SEK 4,000,000 (estimated)</span></li></ul></div></li",Non,Non,"Arvid share the love with a young woman named Lydia, but as is customary at the turn of the century, is not love enough for a fairy tale to come true. While Arvid struggling to create the basis for their existence, Lydia's thirst for the good life leads her to marrying an older wealthy man.",title directed by female 1890s 1900s eastern europe sex scene 5 more ,60
Le point de mire,1977,,Drama Thriller ,,,,"Reporter renowned photographer, Danièle Gaur is conducting an investigation into the alleged accident of her husband Michel. Her research is gradually leading her to discover the workings of a plot to assassinate US Foreign Secretary John W. Maxwell.",sniper assassination political assassination based on novel ,60
Death Is My Trade,1977,,Biography Drama ,,,,The disturbing biography of Auschwitz commander Rudolf Höss.,foreign language adaptation world war two swastika ss nazi uniform 4 more ,120
Why Shoot the Teacher?,1977,PG,Comedy Drama ,"810,000 (estimated)",Non,Non,"In the 1930's, Max Brown is an urban young man from an Eastern province, fresh from college, whose only job offer is in a one-room school house in the Canadian prairie. At first he's distant, superior, lonely, and bewildered; his students are rebellious. Over the course of the year, he is drawn to Alice Field, the wife of a farmer, in a love that can lead nowhere. But, he and his students connect, a connection that matters and lasts.",climbing over a fence listening to a radio looking at a picture lying on a bed man in a bathtub 122 more ,60
Julie pot-de-colle,1977,,Comedy ,,,,"Julie asks Jean-Luc Farlot,authorized signatory of a big European bank to help her disguise a murder as an accident.",breast woman wears only a man's shirt female nudity based on novel character name in title ,60
The Ritual,1977,,Drama ,,,,"A young Brahmin Vedic school student, who is from an aristocratic family, befriends his school master's daughter who is a pregnant widow. The boy tries but fails in concealing his friend's pregnancy. The widow has an abortion forced on her, has the eponymous ritual performed on her and is excommunicated. The student returns home as his school shuts down.",based on novel ,120
Impossible Love,1977,Not Rated,Drama Romance ,,,,Rich Spanish landowner Alvaro is torn between his wife Elvira and two other women in his life. He's also worried about the fact that both his father and grandfather were murdered by Spanish revolutionaries in the house he's inherited.,murder of father murder of grandfather murder revolutionary landowner 8 more ,60
Jäniksen vuosi,1977,,Comedy Drama ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">FIM 1,830,000 (estimated)</span></li></ul></div></li",Non,Non,"Young advertising executive Vatanen suddenly quits his job and his whole life in Helsinki, and decides to spend a while in the Finnish wilderness. A wounded hare hit by a car becomes his travel companion. Together they find reclusion in the Finnish Lapland, soon to be disturbed by a noisy group of foreign tourists and their pretentious Finnish hosts. When the hare gets ill and needs to see a vet, Vatanen must return to the city and finally face the choice between his new and former life.",wilderness nature lapland finland human nature relationship freedom 9 more ,120
Deseos,1977,,Drama Fantasy Musical ,,,,"Snippets of a family drama involving a rebellious son coming to his depressing home village, his father, and a jaded ex-lover, mixed with various surrealist scenes and statements about sin.",one word title circus male frontal nudity male nudity male rear nudity 11 more ,60
"Pas på ryggen, professor!",1977,,Comedy Crime ,,,,"When a boring collage professor is mistaken for his cousin, he gets into all kinds of trouble, with hilarious results.",tattoo rape monkey gangster car chase 1 more ,60
Women in Hospital,1977,,Drama ,,,,"Schuman and Oberhoff are successful hospital doctors who treat pregnant women. However, their personal lives are a mess. Schuman has to deal with his drug-addicted wife Claudia, while Oberhoff deals with his teenage daughter's pregnancy.",hospital teenage daughter pregnancy hospital doctor giving birth 37 more ,60
Servant and Mistress,1977,,Drama ,,,,"FOR years Maria (Andrea Ferreol) has been the faithful cook/housekeeper/domestic to a wealthy fertilizer dealer who lives outside Paris. When the old fellow dies, his nephew Jerome (Victor Lanoux), who used to play childhood games with Maria, returns to collect his legacy. Imagine his surprise when he learns that the legacy-the house, the Rolls-Royce, the fortune, everything-has been left to the servant. Maria, a maid who always wanted to be a lady, agrees that Jerome may stay on in the mansion on her terms, that is, if he becomes her servant.",mansion legacy woman slaps man in the face male to male blow job sex with stranger 10 more ,60
La Gioconda está triste,1977,,Drama Fantasy ,,,,"The Mona Lisa loses her famous smile, and so does the rest of the world...",surrealism parable painting mona lisa leonardo da vinci 1 more ,2820
Violanta,1977,,Drama Fantasy Mystery ,,,,A young man raises the dead in a high valley where the power is held by Violanta.,one word title name in title name as title based on novel ,60
