link,published,author,series,rating,charnum,awardnum
/work/582643,(1999),by Boris Akunin,1,(3.96),2,1
/work/5042572,,by Wang Anyi,0,(4),1,1
/work/2071522,,by Harutoshi Fukui,0,(5),1,1
/work/63568,(2000),by Adèle Geras,1,(3.59),14,14
/work/2742161,(1999),by J. K. Rowling,1,(4.4),37,37
/work/435532,(2004),"by Stephen Sommers (Director, screenwriter)",0,(3.52),17,2
/work/474221,,by A. J. Quinnell,1,(4.02),4,2
/work/19751569,(1996),by Nicholas Sparks,1,(3.77),2,4
/work/8144098,(1986),by Diana Wynne Jones,1,(4.29),27,9
/work/12502,(1910),by Gaston Leroux,0,(3.76),52,3
/work/1748,(1999),by Lemony Snicket,1,(3.7),15,13
/work/8696187,,by Stephen King,1,(3.85),2,1
/work/2848470,(2004),by Renny Harlin,1,(2.38),1,1
/work/5196084,(1950),by Isaac Asimov,1,(3.98),41,11
/work/27987,(2004),by Rex Pickett,1,(3.85),2,1
/work/21622,(1986),by Robert Ludlum,1,(3.69),4,1
/work/3992264,(1964),by Elleston Trevor,0,(3.91),1,1
/work/74629,,by Michael Pye,0,(2.47),1,1
/work/6378,(1997),by Gail Carson Levine,1,(4.09),9,32
/work/12989,(1959),by Richard Condon,0,(3.69),16,4
/work/5708,(1999),by Helen Fielding,1,(3.37),30,3
/work/4156037,,"by Garry Marshall (Director), Meg Cabot (Original book)",1,(3.53),1,1
/work/861116,(2001),by John Grisham,0,(3.29),11,2
/work/31129,,by Jules Verne,1,(3.82),15,15
/work/45136,(1972),by Ira Levin,0,(3.6),2,1
/work/71874,(1991),by Sébastien Japrisot,0,(3.99),10,1
/work/87340,,by Dyan Sheldon,1,(3.37),2,4
/work/10168,(1847),by William Makepeace Thackeray,0,(3.88),9,23
/work/732079,(1998),by Sergei Lukyanenko,1,(3.88),15,5
/work/4936,(1973),by William Goldman,0,(4.27),15,3
/work/2311,(1998),by John Irving,0,(3.69),7,2
/work/2725913,,by Mike Mitchell,0,,1,1
/work/123771,(1969),by Elmore Leonard,1,(3.49),3,1
/work/3779194,(1902),by E. Nesbit,1,(3.89),7,4
/work/4286751,(1937),by W. Somerset Maugham,0,(3.75),1,1
/work/15669521,(2015),by Lisa Jackson,1,(3.8),42,1
