SearchTerm,Link1,AdaptationOf,Link2
Stardust [2007 film],/work/4549033,Stardust,/work/3574878
The Mist [2007 film],/work/10870263,The Mist,/work/232669
I Am Legend [2007 film],/work/3825229,I Am Legend,/work/819161
Shooter [2007 film],/work/7989159,Point of Impact,/work/7732
Gone Baby Gone [2007 film],/work/8834337,"Gone, Baby, Gone",/work/38008
The Golden Compass [2007 film],/work/5750391,Northern Lights,/work/3261
Shrek the Third [2007 film],/work/4319128,Shrek the Third [2007 film],/work/4319128
Bridge to Terabithia [2007 film],/work/9829845,Bridge to Terabithia,/work/4131
The Invasion [2007 film],/work/12416896,The Invasion,/work/20684666
P. S. I Love You [2007 film],/work/6513698,,
The Bourne Ultimatum [2007 film],/work/2953721,The Bourne Ultimatum,/work/31895
The Assassination of Jesse James by the Coward Robert Ford [2007 film],/work/5212703,The Assassination of Jesse James by the Coward Robert Ford,/work/168286
Next [2007 film],/work/4072138,Next,/work/1806474
Charlie Wilson's War [2007 film],/work/5390356,Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of Our Times,/work/21866
Hannibal Rising [2007 film],/work/11781590,Hannibal Rising,/work/1629853
Virgin Territory [2007 film],/work/15503415,Virgin Territory,/work/247027
Meet the Robinsons [2007 animated film],/work/5280252,A Day with Wilbur Robinson,/work/129706
The Last Legion [2007 film],/work/10845750,L'ultima Legione,/work/287212
The Kite Runner [2007 film],/work/8006378,The Kite Runner,/work/5276341
Death Sentence [2007 film],/work/16729308,Death Sentence [2007 film],/work/16729308
The Nanny Diaries [2007 film],/work/11225539,The Nanny Diaries,/work/21637
The Water Horse: Legend of the Deep [2007 film],/work/5864554,The Water Horse: Legend of the Deep [2007 film],/work/5864554
Blood and Chocolate,/work/16181,,
The Seeker: The Dark is Rising [2007 movie],/work/6731055,The Dark Is Rising,/work/4290062
Reservation Road [2007 film],/work/12466868,Reservation Road (Vintage Contemporaries),/work/71547
Love in the Time of Cholera [2007 film],/work/9701493,Love in the Time of Cholera,/work/10105
The Invisible Man,/work/21214,,
Une vieille maîtresse,/work/11008973,,
The Life Before Her Eyes [2007 film],/work/12848902,The Life Before Her Eyes [2007 film],/work/12848902
The Death and Life of Bobby Z,/work/28615,,
Paranoid Park [2007 film],/work/12072887,Paranoid Park,/work/1205640
Youth Without Youth [2007 movie],/work/18050471,Youth Without Youth,/work/4366373
Silk [2007 film],/work/11550586,Silk,/work/18143
December Boys,/work/17239217,,
Martian Child,/work/11124786,The Martian Child: A Novel About A Single Father Adopting A Son,/work/81719
Then She Found Me [2007 film],/work/6894633,Then She Found Me,/work/42558
Fugitive Pieces,/work/17911,,
Married Life [2007 film],/work/8191026,Married Life [2007 film],/work/8191026
The Tracey Fragments,/work/1183683,,
The Last Sin Eater [2007 film],/work/12907267,The Last Sin Eater,/work/150649
The Sun Also Rises [2007 film],/work/17913424,The Sun Also Rises,/work/23107
The Little Traitor,/work/10418450,,
Beaufort,/work/3915047,,
"Genghis Khan: To the Ends of the Earth and Sea, Volume 1",/work/7815312,,
All Hat,/work/214496,,
Emotional Arithmetic: A Novel,/work/335871,,
Paragraf 78,,,
"Lewdness (Peccatum Mutum: The Mute Sin, alias Sodomy)",/work/10278493,,
Best Wishes for Tomorrow,,,
Cairo Jim on the trail to Chacha Muchos: an epic tale of rhythm,/work/1522819,,
Casino Royale [2006 film],/work/2812440,Casino Royale,/work/2612458
The Prestige [2006 film],/work/2641242,The Prestige,/work/18416
Children of Men [2006 film],/work/2781198,The Children of Men,/work/14944
The Da Vinci Code [2006 film],/work/2177925,The Da Vinci Code,/work/3123767
A Good Year [2006 film],/work/3750366,A Good Year,/work/5661
The Devil Wears Prada [2006 film],/work/2845190,The Devil Wears Prada,/work/10284
Perfume: The Story of a Murderer [2006 film],/work/6508840,Perfume: The Story of a Murderer,/work/36980
Little Children [2006 film],/work/8209938,Little Children: A Novel,/work/26899
Marie Antoinette [2006 film],/work/2376065,Marie Antoinette: The Portrait of an Average Woman,/work/404772
The Black Dahlia [2006 film],/work/5810290,The Black Dahlia,/work/24623
Poseidon [2006 film],/work/3002303,Poseidon's Wake,/work/15674383
Eragon [2006 film],/work/2720167,Eragon,/work/6518
Aquamarine,/work/45518,,
Charlotte's Web,/work/1590,,
A Scanner Darkly [2006 film],/work/3337875,A Scanner Darkly,/work/16566
Death Note [2006 live action film],/work/16651496,"Death Note, Volume 1: Boredom",/work/39176
Notes on a Scandal [2006 film],/work/5457594,Notes on a Scandal,/work/94034
The Painted Veil [2006 film],/work/3291145,The Painted Veil,/work/51070
Zoom [2006 film],/work/13594682,Zoom,/work/29580
Arthur and the Invisibles [2006 film],/work/3291119,Arthur and the Invisibles [2006 film],/work/3291119
All The King's Men [2006 film],/work/12542484,All the King's Men,/work/35392
The Sentinel [2006 film],/work/4121876,The Sentinel,/work/223464
The Namesake [2006 film],/work/5407396,The Namesake,/work/3015
Peaceful Warrior [2006 film],/work/6931538,Way of the Peaceful Warrior: A Book That Changes Lives,/work/121676
Hoot,/work/123835,,
School For Scoundrels [2006 film],/work/17310331,School For Scoundrels [1960 film],/work/14443744
Freedomland [2006 movie],/work/17017695,Freedomland,/work/76686
The Night Listener [2006 film],/work/4738717,The Night Listener,/work/13911
The Good German [2006 film],/work/3213980,The Good German,/work/19746
Flicka [2006 film],/work/8280852,My Friend Flicka,/work/33824
One Night with the King [2007 film],/work/3504294,Hadassah: One Night With the King,/work/136576
Daywatch [2006 film],/work/9576421,Daywatch [2006 film],/work/9576421
How to Eat Fried Worms,/work/31521,,
The Celestine Prophecy [2006 film],/work/13629136,The Celestine Prophecy: An Adventure,/work/3320466
Boy Culture [2006 film],/work/10577462,Boy Culture [2006 film],/work/10577462
Thr3e [2006 film],/work/3750207,Three,/work/124419
Love's Abiding Joy,/work/124428,,
O cheiro do ralo,/work/1778473,,
Wolfhound,,,
The valley of flowers,/work/4549993,,
46-okunen no koi,,,
Opal Dream,/work/15409345,,
The Work and the Glory III: A House Divided [2006 movie],/work/17078890,,
A Sunday at the Pool in Kigali,/work/28768,,
The Treatment,/work/156820,,
The Strange Case of Dr Jekyll and Mr Hyde,/work/12349,,
The Housekeeper and the Professor,/work/5263983,,
Disappearances,/work/232884,,
Aziris nuna,,,
Tin sang yat dui,,,
Harry Potter and the Goblet of Fire [2005 film],/work/708696,Harry Potter and the Goblet of Fire,/work/113
Pride and Prejudice,/work/2773690,Pride and Prejudice,/work/2773690
Charlie and the Chocolate Factory [2005 film],/work/2987469,Charlie and the Chocolate Factory,/work/1588
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe [2005 film]",/work/1120452,"The Lion, the Witch and the Wardrobe",/work/1182675
The Amityville Horror [2005 film],/work/11185035,The Amityville Horror: A True Story,/work/60656
War of the Worlds [2005 film],/work/2933588,The War of the Worlds,/work/11494
Lie With Me [2005 Film],/work/12286232,"Lie with Me (Shadow Force Series, Book 1)",/work/9769294
The Hitchhiker's Guide to the Galaxy [2005 film],/work/722329,The Hitchhiker's Guide to the Galaxy,/work/2492277
Memoirs of a Geisha [2005 film],/work/2904892,Memoirs of a Geisha,/work/2704
Kiss Kiss Bang Bang [2005 film],/work/7053890,Kiss Kiss Bang Bang [2005 film],/work/7053890
Nanny McPhee [2005 film],/work/1412367,Nanny McPhee [2005 film],/work/1412367
